country,forecast_date,predicted_tws,step
HTI,2026-01-01,3.0804985,6
HUN,2025-08-01,4.2982197,1
HUN,2025-09-01,4.252622,2
HUN,2025-10-01,4.1448445,3
HUN,2025-11-01,3.8130126,4
HUN,2025-12-01,3.206615,5
HUN,2026-01-01,2.9296806,6
IDN,2025-08-01,3.3770547,1
IDN,2025-09-01,4.197924,2
IDN,2025-10-01,4.0529766,3
IDN,2025-11-01,3.6033568,4
IDN,2025-12-01,2.8950796,5
IDN,2026-01-01,2.9296806,6
IND,2025-08-01,3.8865972,1
IND,2025-09-01,2.968918,2
IND,2025-10-01,3.314691,3
IND,2025-11-01,3.4408793,4
IND,2025-12-01,2.8440404,5
IND,2026-01-01,2.720025,6
IRL,2025-08-01,3.0981395,1
IRL,2025-09-01,3.3108215,2
IRL,2025-10-01,3.4711874,3
IRL,2025-11-01,3.3492498,4
IRL,2025-12-01,2.7770534,5
IRL,2026-01-01,2.5759797,6
IRN,2025-08-01,4.5497394,1
IRN,2025-09-01,3.8319297,2
IRN,2025-10-01,3.7699232,3
IRN,2025-11-01,4.002609,4
IRN,2025-12-01,3.3055215,5
IRN,2026-01-01,2.93783,6
IRQ,2025-08-01,6.5885878,1
IRQ,2025-09-01,5.1134014,2
IRQ,2025-10-01,5.0409317,3
IRQ,2025-11-01,5.64872,4
IRQ,2025-12-01,4.9865775,5
IRQ,2026-01-01,4.50854,6
ISL,2025-08-01,7.3523145,1
ISL,2025-09-01,6.57677,2
ISL,2025-10-01,4.8758745,3
ISL,2025-11-01,5.561261,4
ISL,2025-12-01,5.134171,5
ISL,2026-01-01,5.121592,6
ISR,2025-08-01,5.541432,1
ISR,2025-09-01,4.4687953,2
ISR,2025-10-01,4.3989477,3
ISR,2025-11-01,5.0537143,4
ISR,2025-12-01,4.3427444,5
ISR,2026-01-01,3.7598345,6
ITA,2025-08-01,3.5129154,1
ITA,2025-09-01,3.6039147,2
ITA,2025-10-01,3.3645496,3
ITA,2025-11-01,3.2312236,4
ITA,2025-12-01,2.7770534,5
ITA,2026-01-01,2.5759797,6
JAM,2025-08-01,5.2088566,1
JAM,2025-09-01,4.832908,2
JAM,2025-10-01,5.1219535,3
JAM,2025-11-01,4.8876677,4
JAM,2025-12-01,4.3427444,5
JAM,2026-01-01,4.067022,6
JOR,2025-08-01,7.6982245,1
JOR,2025-09-01,5.840728,2
JOR,2025-10-01,5.3125587,3
JOR,2025-11-01,6.181224,4
JOR,2025-12-01,5.5927854,5
JOR,2026-01-01,4.7367487,6
JPN,2025-08-01,6.0221934,1
JPN,2025-09-01,4.5222774,2
JPN,2025-10-01,4.3989477,3
JPN,2025-11-01,5.100996,4
JPN,2025-12-01,4.337933,5
JPN,2026-01-01,3.7598345,6
KAS,2025-08-01,3.2338614,1
KAS,2025-09-01,3.0224676,2
KAS,2025-10-01,3.0259514,3
KAS,2025-11-01,3.0804057,4
KAS,2025-12-01,2.6262355,5
KAS,2026-01-01,2.5759797,6
KAZ,2025-08-01,4.609983,1
KAZ,2025-09-01,4.1993093,2
KAZ,2025-10-01,3.5489025,3
KAZ,2025-11-01,3.834906,4
KAZ,2025-12-01,3.3233914,5
KAZ,2026-01-01,3.0804985,6
KEN,2025-08-01,22.430676,1
KEN,2025-09-01,24.93818,2
KEN,2025-10-01,24.855555,3
KEN,2025-11-01,25.684822,4
KEN,2025-12-01,26.15482,5
KEN,2026-01-01,24.305803,6
KGZ,2025-08-01,4.469744,1
KGZ,2025-09-01,4.1652246,2
KGZ,2025-10-01,3.725995,3
KGZ,2025-11-01,3.8308825,4
KGZ,2025-12-01,3.206615,5
KGZ,2026-01-01,2.787012,6
KHM,2025-08-01,5.2313247,1
KHM,2025-09-01,4.463604,2
KHM,2025-10-01,3.925859,3
KHM,2025-11-01,3.8620696,4
KHM,2025-12-01,3.4951181,5
KHM,2026-01-01,3.1985247,6
KIR,2025-08-01,6.1476297,1
KIR,2025-09-01,4.8924613,2
KIR,2025-10-01,4.703284,3
KIR,2025-11-01,5.284217,4
KIR,2025-12-01,4.6990933,5
KIR,2026-01-01,4.2663383,6
KOR,2025-08-01,4.7101965,1
KOR,2025-09-01,4.1767416,2
KOR,2025-10-01,3.6186566,3
KOR,2025-11-01,3.8308825,4
KOR,2025-12-01,3.3233914,5
KOR,2026-01-01,2.93783,6
KOS,2025-08-01,4.6543202,1
KOS,2025-09-01,3.5619514,2
KOS,2025-10-01,3.1846614,3
KOS,2025-11-01,3.1473927,4
KOS,2025-12-01,2.8993468,5
KOS,2026-01-01,2.720025,6
KWT,2025-08-01,5.0435853,1
KWT,2025-09-01,4.325616,2
KWT,2025-10-01,4.243018,3
KWT,2025-11-01,4.9157796,4
KWT,2025-12-01,4.3302417,5
KWT,2026-01-01,3.7598345,6
LAO,2025-08-01,3.8199413,1
LAO,2025-09-01,3.2858574,2
LAO,2025-10-01,3.1767693,3
LAO,2025-11-01,3.0804057,4
LAO,2025-12-01,2.6932225,5
LAO,2026-01-01,2.5759797,6
LBN,2025-08-01,6.429228,1
LBN,2025-09-01,5.1134014,2
LBN,2025-10-01,5.0409317,3
LBN,2025-11-01,5.64872,4
LBN,2025-12-01,4.9865775,5
LBN,2026-01-01,4.50854,6
LBR,2025-08-01,4.9862523,1
LBR,2025-09-01,4.493902,2
LBR,2025-10-01,4.1760316,3
LBR,2025-11-01,4.132703,4
LBR,2025-12-01,3.581522,5
LBR,2026-01-01,3.1985247,6
LBY,2025-08-01,3.975399,1
LBY,2025-09-01,3.899547,2
LBY,2025-10-01,4.2572055,3
LBY,2025-11-01,4.1202154,4
LBY,2025-12-01,3.2161736,5
LBY,2026-01-01,2.93783,6
LKA,2025-08-01,3.7787435,1
LKA,2025-09-01,3.2858574,2
LKA,2025-10-01,3.1846676,3
LKA,2025-11-01,3.0804057,4
LKA,2025-12-01,2.6932225,5
LKA,2026-01-01,2.5759797,6
LSO,2025-08-01,-1.3309582,1
LSO,2025-09-01,-0.70813406,2
LSO,2025-10-01,0.052639015,3
LSO,2025-11-01,0.15082617,4
LSO,2025-12-01,0.24670584,5
LSO,2026-01-01,0.33277586,6
LTU,2025-08-01,3.5211,1
LTU,2025-09-01,4.0170474,2
LTU,2025-10-01,3.4880204,3
LTU,2025-11-01,3.3492498,4
LTU,2025-12-01,2.7770534,5
LTU,2026-01-01,2.6429667,6
LVA,2025-08-01,3.883281,1
LVA,2025-09-01,3.9352167,2
LVA,2025-10-01,3.3556929,3
LVA,2025-11-01,3.2982106,4
LVA,2025-12-01,2.8440404,5
LVA,2026-01-01,2.787012,6
MAR,2025-08-01,4.217033,1
MAR,2025-09-01,3.9089627,2
MAR,2025-10-01,3.9483914,3
MAR,2025-11-01,3.714106,4
MAR,2025-12-01,3.206615,5
MAR,2026-01-01,2.787012,6
MDA,2025-08-01,5.352187,1
MDA,2025-09-01,4.493902,2
MDA,2025-10-01,4.1760316,3
MDA,2025-11-01,4.733251,4
MDA,2025-12-01,4.3427444,5
MDA,2026-01-01,3.7598345,6
MDG,2025-08-01,-5.281999,1
MDG,2025-09-01,-4.271406,2
MDG,2025-10-01,-3.3522332,3
MDG,2025-11-01,-2.0399637,4
MDG,2025-12-01,-1.1796577,5
MDG,2026-01-01,-0.62999094,6
MEX,2025-08-01,4.7814054,1
MEX,2025-09-01,4.7128887,2
MEX,2025-10-01,4.6051106,3
MEX,2025-11-01,4.1202154,4
MEX,2025-12-01,3.581522,5
MEX,2026-01-01,3.3153012,6
MHL,2025-08-01,7.170165,1
MHL,2025-09-01,5.4096274,2
MHL,2025-10-01,4.936252,3
MHL,2025-11-01,5.64872,4
MHL,2025-12-01,5.0513544,5
MHL,2026-01-01,4.521043,6
MLI,2025-08-01,4.762455,1
MLI,2025-09-01,4.432046,2
MLI,2025-10-01,4.243018,3
MLI,2025-11-01,4.2840443,4
MLI,2025-12-01,3.8887234,5
MLI,2026-01-01,3.3537252,6
MMR,2025-08-01,4.53257,1
MMR,2025-09-01,3.8195708,2
MMR,2025-10-01,3.51975,3
MMR,2025-11-01,3.5589056,4
MMR,2025-12-01,3.0514145,5
MMR,2026-01-01,2.787012,6
MNG,2025-08-01,0.82065624,1
MNG,2025-09-01,1.9065884,2
MNG,2025-10-01,1.6595019,3
MNG,2025-11-01,1.300955,4
MNG,2025-12-01,0.8782606,5
MNG,2026-01-01,1.0555289,6
MNP,2025-08-01,11.025625,1
MNP,2025-09-01,11.148768,2
MNP,2025-10-01,11.399431,3
MNP,2025-11-01,12.327936,4
MNP,2025-12-01,14.13311,5
MNP,2026-01-01,12.532227,6
MOZ,2025-08-01,6.830916,1
MOZ,2025-09-01,6.5202217,2
MOZ,2025-10-01,5.7556186,3
MOZ,2025-11-01,5.3384933,4
MOZ,2025-12-01,5.122074,5
MOZ,2026-01-01,5.1685834,6
MRT,2025-08-01,4.774552,1
MRT,2025-09-01,4.386498,2
MRT,2025-10-01,4.515724,3
MRT,2025-11-01,4.4087176,4
MRT,2025-12-01,3.8887234,5
MRT,2026-01-01,3.3537252,6
MUS,2025-08-01,-1.0024489,1
MUS,2025-09-01,-0.29158893,2
MUS,2025-10-01,0.46397814,3
MUS,2025-11-01,0.298195,4
MUS,2025-12-01,0.27974173,5
MUS,2026-01-01,0.40475634,6
MWI,2025-08-01,15.652661,1
MWI,2025-09-01,15.706133,2
MWI,2025-10-01,15.211782,3
MWI,2025-11-01,16.459307,4
MWI,2025-12-01,18.058716,5
MWI,2026-01-01,16.469273,6
MYS,2025-08-01,3.0332675,1
MYS,2025-09-01,3.986922,2
MYS,2025-10-01,4.3358,3
MYS,2025-11-01,3.9105597,4
MYS,2025-12-01,3.05028,5
MYS,2026-01-01,2.787012,6
NAM,2025-08-01,0.86153173,1
NAM,2025-09-01,0.6800545,2
NAM,2025-10-01,0.8656749,3
NAM,2025-11-01,0.8272254,4
NAM,2025-12-01,0.6860747,5
NAM,2026-01-01,0.5675306,6
NCL,2025-08-01,4.8016243,1
NCL,2025-09-01,5.1985445,2
NCL,2025-10-01,4.6051106,3
NCL,2025-11-01,4.1202154,4
NCL,2025-12-01,3.612709,5
NCL,2026-01-01,3.6422286,6
NER,2025-08-01,4.514523,1
NER,2025-09-01,4.1940093,2
NER,2025-10-01,4.3358,3
NER,2025-11-01,4.236991,4
NER,2025-12-01,3.4880505,5
NER,2026-01-01,3.0558562,6
NGA,2025-08-01,3.5047948,1
NGA,2025-09-01,3.3649235,2
NGA,2025-10-01,3.465509,3
NGA,2025-11-01,3.3492498,4
NGA,2025-12-01,2.7770534,5
NGA,2026-01-01,2.5759797,6
NIC,2025-08-01,4.084201,1
NIC,2025-09-01,3.7264342,2
NIC,2025-10-01,3.8057222,3
NIC,2025-11-01,3.5714374,4
NIC,2025-12-01,2.9620667,5
NIC,2026-01-01,2.720025,6
NLD,2025-08-01,2.9808936,1
NLD,2025-09-01,3.632124,2
NLD,2025-10-01,3.8114007,3
NLD,2025-11-01,3.5044503,4
NLD,2025-12-01,2.8950796,5
NLD,2026-01-01,2.720025,6
NOR,2025-08-01,12.40378,1
NOR,2025-09-01,13.461451,2
NOR,2025-10-01,13.25215,3
NOR,2025-11-01,12.452598,4
NOR,2025-12-01,13.610165,5
NOR,2026-01-01,12.57161,6
NPL,2025-08-01,3.4486165,1
NPL,2025-09-01,3.0404365,2
